,Team,1st,2nd,3rd,4th,5th,Q,QW,Q1,Q2,Q3,Q4,SW,S1,S2,3L,3W,Runner-up,W
0,Argentina,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Australia,0.0,100.0,0.0,0.0,0.0,100.0,17.58,17.58,0.0,0.0,0.0,3.379,3.379,0.0,8.352,5.849,2.292,1.087
2,Canada,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,England,100.0,0.0,0.0,0.0,0.0,100.0,82.42,82.42,0.0,0.0,0.0,42.521,42.521,0.0,10.332,29.567,14.294,28.227
4,Fiji,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,France,0.0,100.0,0.0,0.0,0.0,100.0,15.817,0.0,0.0,15.817,0.0,5.101,0.0,5.101,8.988,1.728,4.422,0.679
6,Georgia,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Ireland,0.0,100.0,0.0,0.0,0.0,100.0,32.122,0.0,32.122,0.0,0.0,13.685,13.685,0.0,6.735,11.702,6.406,7.279
8,Italy,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Japan,100.0,0.0,0.0,0.0,0.0,100.0,24.465,0.0,0.0,0.0,24.465,4.921,0.0,4.921,16.58,2.964,4.371,0.55
10,Namibia,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,New Zealand,100.0,0.0,0.0,0.0,0.0,100.0,67.878,0.0,67.878,0.0,0.0,40.415,40.415,0.0,6.35,21.113,12.297,28.118
12,Russia,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Samoa,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Scotland,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,South Africa,0.0,100.0,0.0,0.0,0.0,100.0,75.535,0.0,0.0,0.0,75.535,31.008,0.0,31.008,29.472,15.055,22.05,8.958
16,Tonga,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,USA,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Uruguay,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Wales,100.0,0.0,0.0,0.0,0.0,100.0,84.183,0.0,0.0,84.183,0.0,58.97,0.0,58.97,13.191,12.022,33.868,25.102
