,index,hpd_low,hpd_high,hpd_median,relative_lower,relative_upper,x
0,Russia,-0.6560481338666527,-0.44439658674986166,-0.5443320060857249,0.11171612778092788,0.0999354193358632,0.5
1,Georgia,-0.5526775479644453,-0.39389876018555003,-0.47053587415244363,0.08214167381200171,0.0766371139668936,1.5
2,Namibia,-0.5694483843862279,-0.3337112232420146,-0.452119667286563,0.11732871709966491,0.11840844404454842,2.5
3,Canada,-0.5120139452281322,-0.36081918727857565,-0.4398083267614829,0.07220561846664925,0.07898913948290726,3.5
4,Uruguay,-0.4682117979310123,-0.2936966607446013,-0.38162142077467703,0.08659037715633527,0.08792476003007571,4.5
5,Tonga,-0.3344140222373608,-0.16393522498603288,-0.2502055511416348,0.08420847109572599,0.0862703261556019,5.5
6,Samoa,-0.30636555861253684,-0.14068901221059338,-0.22164701537597067,0.08471854323656616,0.0809580031653773,6.5
7,USA,-0.23688925328017432,-0.10494470737675486,-0.1721031349655093,0.06478611831466502,0.06715842758875444,7.5
8,Italy,-0.20998740029910418,-0.07704517476263105,-0.1433598496883835,0.06662755061072068,0.06631467492575245,8.5
9,Japan,-0.08617754350403203,0.03959862783315386,-0.026274624146771258,0.059902919357260775,0.06587325197992512,9.5
10,Fiji,-0.07020489139598597,0.06683605352285674,-0.003556073572636223,0.06664881782334975,0.07039212709549296,10.5
11,France,0.06086531972554719,0.18378702114498802,0.12042558674535403,0.05956026701980684,0.06336143439963399,11.5
12,Wales,0.1600340275533231,0.2711974487921056,0.2192317661130914,0.05919773855976829,0.05196568267901422,12.5
13,Argentina,0.19424425001182083,0.3082722380624485,0.24767470292533222,0.053430452913511395,0.0605975351371163,13.5
14,Scotland,0.19779452446225723,0.30502777768348227,0.25275366737640487,0.054959142914147635,0.052274110307077404,14.5
15,Ireland,0.2797326587406342,0.3830686683407285,0.3275076515684079,0.0477749928277737,0.055561016772320615,15.5
16,Australia,0.31222698142634997,0.4176159097829217,0.36456861142238023,0.05234162999603026,0.05304729836054145,16.5
17,South Africa,0.3249972581275995,0.43528838922278557,0.3799809045189554,0.05498364639135589,0.05530748470383018,17.5
18,England,0.4119829471020041,0.51136967814696,0.46277832968850907,0.050795382586504956,0.04859134845845092,18.5
19,New Zealand,0.6864083874731836,0.7779035430033113,0.7329602110707121,0.04655182359752852,0.04494333193259925,19.5
