,index,hpd_low,hpd_high,hpd_median,relative_lower,relative_upper,x
0,New Zealand,-0.623527689081879,-0.49440723362449557,-0.5577481434150702,0.06577954566680888,0.0633409097905746,0.5
1,Ireland,-0.55610954520697,-0.43258085747328673,-0.49595199114348737,0.06015755406348261,0.06337113367020064,1.5
2,Wales,-0.5457265507062836,-0.4248592555998409,-0.4805014672532971,0.0652250834529865,0.05564221165345623,2.5
3,England,-0.5275733825738426,-0.40137028642908135,-0.4632594336706425,0.06431394890320008,0.06188914724156114,3.5
4,South Africa,-0.43989527337993145,-0.3272122196280861,-0.38398662028699365,0.0559086530929378,0.05677440065890754,4.5
5,Australia,-0.37676228249758553,-0.2701561540280145,-0.32485637047934635,0.051905912018239186,0.05470021645133183,5.5
6,France,-0.37951740772905285,-0.26444858024916046,-0.3178551278378304,0.06166227989122247,0.05340654758866992,6.5
7,Scotland,-0.2590706519673702,-0.14907372668174979,-0.2081772715072695,0.05089338046010072,0.059103544825519716,7.5
8,Argentina,-0.1803386996756366,-0.07587986586574037,-0.1307286520250169,0.04961004765061969,0.05484878615927653,8.5
9,Georgia,-0.08634357690211562,0.05815877166444412,-0.020017161066461217,0.0663264158356544,0.07817593273090534,9.5
10,Fiji,-0.04847478244694259,0.09538499469064547,0.02338129210567333,0.07185607455261592,0.07200370258497214,10.5
11,Japan,0.05839439646731952,0.18903619071435393,0.12412732372255186,0.06573292725523235,0.06490886699180207,11.5
12,Italy,0.10962861323990428,0.20421576843013978,0.15484223533785912,0.04521362209795485,0.04937353309228065,12.5
13,Samoa,0.10081851635409617,0.23684972210308172,0.16929382948752447,0.0684753131334283,0.06755589261555725,13.5
14,Tonga,0.14368256529476686,0.2787874610051236,0.21369616643642061,0.07001360114165375,0.06509129456870297,14.5
15,USA,0.22387819565542164,0.35934008235294557,0.29155157035868234,0.06767337470326071,0.06778851199426322,15.5
16,Canada,0.47514068700157397,0.5930827357672057,0.5328069343420085,0.05766624734043457,0.06027580142519717,16.5
17,Uruguay,0.5040757973112286,0.6424602022802591,0.5713515996482494,0.0672758023370208,0.07110860263200969,17.5
18,Namibia,0.525888198750515,0.7208759596272499,0.6272272535867122,0.1013390548361972,0.09364870604053777,18.5
19,Russia,0.5896810803841209,0.7650215719072918,0.6736868873386915,0.0840058069545706,0.09133468456860028,19.5
