,Pool,Team_A,Team_B,ELO_A,ELO_B,Prob_A,Prob_B
0,A,Ireland,Scotland,2780.0,2463.0,0.8611409356570433,0.1388590643429567
1,A,Ireland,Japan,2780.0,2391.0,0.9037204383519798,0.0962795616480202
2,A,Scotland,Japan,2463.0,2391.0,0.6021580931747169,0.3978419068252831
3,A,Ireland,Russia,2780.0,1954.0,0.9914635606872954,0.008536439312704647
4,A,Scotland,Russia,2463.0,1954.0,0.9493115772909919,0.050688422709008085
5,A,Japan,Russia,2391.0,1954.0,0.9252264436735518,0.07477355632644822
6,A,Ireland,Samoa,2780.0,2044.0,0.9857515549835216,0.014248445016478373
7,A,Scotland,Samoa,2463.0,2044.0,0.9177346187993988,0.08226538120060123
8,A,Japan,Samoa,2391.0,2044.0,0.8805335622474012,0.1194664377525988
9,A,Russia,Samoa,1954.0,2044.0,0.373300918333268,0.6266990816667319
10,B,New Zealand,South Africa,2831.0,2651.0,0.7381090325404187,0.2618909674595813
11,B,New Zealand,Italy,2831.0,2075.0,0.9872813524037093,0.01271864759629071
12,B,South Africa,Italy,2651.0,2075.0,0.9649642651680138,0.03503573483198619
13,B,New Zealand,Namibia,2831.0,1890.0,0.9955784404018584,0.004421559598141611
14,B,South Africa,Namibia,2651.0,1890.0,0.9876377455191498,0.012362254480850154
15,B,Italy,Namibia,2075.0,1890.0,0.7436345220073278,0.2563654779926722
16,B,New Zealand,Canada,2831.0,1781.0,0.9976342364039239,0.002365763596076098
17,B,South Africa,Canada,2651.0,1781.0,0.9933609326272825,0.0066390673727174665
18,B,Italy,Canada,2075.0,1781.0,0.8445395282300351,0.15546047176996491
19,B,Namibia,Canada,1890.0,1781.0,0.6519120398746636,0.3480879601253364
20,C,England,France,2810.0,2430.0,0.8991173716432768,0.10088262835672324
21,C,England,Argentina,2810.0,2199.0,0.9711731836042778,0.028826816395722155
22,C,France,Argentina,2430.0,2199.0,0.7907981027972382,0.20920189720276183
23,C,England,USA,2810.0,2215.0,0.9684796873667971,0.031520312633202874
24,C,France,USA,2430.0,2215.0,0.7751528656496841,0.2248471343503159
25,C,Argentina,USA,2199.0,2215.0,0.4769904127024377,0.5230095872975623
26,C,England,Tonga,2810.0,2095.0,0.9839500729693957,0.01604992703060426
27,C,France,Tonga,2430.0,2095.0,0.8730738822502696,0.1269261177497304
28,C,Argentina,Tonga,2199.0,2095.0,0.6453524504393825,0.3546475495606175
29,C,USA,Tonga,2215.0,2095.0,0.6661394245831221,0.33386057541687786
30,D,Australia,Wales,2550.0,2708.0,0.287097842594546,0.7129021574054539
31,D,Australia,Georgia,2550.0,2187.0,0.8898878421811328,0.11011215781886718
32,D,Wales,Georgia,2708.0,2187.0,0.9525342236676632,0.04746577633233684
33,D,Australia,Fiji,2550.0,2316.0,0.7936407431881689,0.2063592568118311
34,D,Wales,Fiji,2708.0,2316.0,0.9052126040268039,0.09478739597319608
35,D,Georgia,Fiji,2187.0,2316.0,0.32243941991489944,0.6775605800851006
36,D,Australia,Uruguay,2550.0,2015.0,0.9560478979006847,0.04395210209931533
37,D,Wales,Uruguay,2708.0,2015.0,0.981822548199575,0.01817745180042496
38,D,Georgia,Uruguay,2187.0,2015.0,0.7291099628977525,0.27089003710224746
39,D,Fiji,Uruguay,2316.0,2015.0,0.8497568518427462,0.15024314815725381
