,Pool,Team_A,Team_B,Prob
0,A,Ireland,Scotland,0.8611409356570433
1,A,Ireland,Japan,0.9037204383519798
2,A,Scotland,Japan,0.6021580931747169
3,A,Ireland,Russia,0.9914635606872954
4,A,Scotland,Russia,0.9493115772909919
5,A,Japan,Russia,0.9252264436735518
6,A,Ireland,Samoa,0.9857515549835216
7,A,Scotland,Samoa,0.9177346187993988
8,A,Japan,Samoa,0.8805335622474012
9,A,Russia,Samoa,0.373300918333268
10,B,New Zealand,South Africa,0.7381090325404187
11,B,New Zealand,Italy,0.9872813524037093
12,B,South Africa,Italy,0.9649642651680138
13,B,New Zealand,Namibia,0.9955784404018584
14,B,South Africa,Namibia,0.9876377455191498
15,B,Italy,Namibia,0.7436345220073278
16,B,New Zealand,Canada,0.9976342364039239
17,B,South Africa,Canada,0.9933609326272825
18,B,Italy,Canada,0.8445395282300351
19,B,Namibia,Canada,0.6519120398746636
20,C,England,France,0.8991173716432768
21,C,England,Argentina,0.9711731836042778
22,C,France,Argentina,0.7907981027972382
23,C,England,USA,0.9684796873667971
24,C,France,USA,0.7751528656496841
25,C,Argentina,USA,0.4769904127024377
26,C,England,Tonga,0.9839500729693957
27,C,France,Tonga,0.8730738822502696
28,C,Argentina,Tonga,0.6453524504393825
29,C,USA,Tonga,0.6661394245831221
30,D,Australia,Wales,0.287097842594546
31,D,Australia,Georgia,0.8898878421811328
32,D,Wales,Georgia,0.9525342236676632
33,D,Australia,Fiji,0.7936407431881689
34,D,Wales,Fiji,0.9052126040268039
35,D,Georgia,Fiji,0.32243941991489944
36,D,Australia,Uruguay,0.9560478979006847
37,D,Wales,Uruguay,0.981822548199575
38,D,Georgia,Uruguay,0.7291099628977525
39,D,Fiji,Uruguay,0.8497568518427462
0,A,Scotland,Ireland,0.1388590643429567
1,A,Japan,Ireland,0.0962795616480202
2,A,Japan,Scotland,0.3978419068252831
3,A,Russia,Ireland,0.008536439312704647
4,A,Russia,Scotland,0.050688422709008085
5,A,Russia,Japan,0.07477355632644822
6,A,Samoa,Ireland,0.014248445016478373
7,A,Samoa,Scotland,0.08226538120060123
8,A,Samoa,Japan,0.1194664377525988
9,A,Samoa,Russia,0.6266990816667319
10,B,South Africa,New Zealand,0.2618909674595813
11,B,Italy,New Zealand,0.01271864759629071
12,B,Italy,South Africa,0.03503573483198619
13,B,Namibia,New Zealand,0.004421559598141611
14,B,Namibia,South Africa,0.012362254480850154
15,B,Namibia,Italy,0.2563654779926722
16,B,Canada,New Zealand,0.002365763596076098
17,B,Canada,South Africa,0.0066390673727174665
18,B,Canada,Italy,0.15546047176996491
19,B,Canada,Namibia,0.3480879601253364
20,C,France,England,0.10088262835672324
21,C,Argentina,England,0.028826816395722155
22,C,Argentina,France,0.20920189720276183
23,C,USA,England,0.031520312633202874
24,C,USA,France,0.2248471343503159
25,C,USA,Argentina,0.5230095872975623
26,C,Tonga,England,0.01604992703060426
27,C,Tonga,France,0.1269261177497304
28,C,Tonga,Argentina,0.3546475495606175
29,C,Tonga,USA,0.33386057541687786
30,D,Wales,Australia,0.7129021574054539
31,D,Georgia,Australia,0.11011215781886718
32,D,Georgia,Wales,0.04746577633233684
33,D,Fiji,Australia,0.2063592568118311
34,D,Fiji,Wales,0.09478739597319608
35,D,Fiji,Georgia,0.6775605800851006
36,D,Uruguay,Australia,0.04395210209931533
37,D,Uruguay,Wales,0.01817745180042496
38,D,Uruguay,Georgia,0.27089003710224746
39,D,Uruguay,Fiji,0.15024314815725381
