,Year,Team,Pts,Pts,Team,HT,HT,,Series,Ground,Date,Match
0,1890,Wales,2,8,Scotland,0,8,,Home Nations,Cardiff,1 Feb 1890,Details
1,1890,England,0,1,Wales,-,-,,Home Nations,Dewsbury,15 Feb 1890,Details
2,1890,Scotland,5,0,Ireland,5,0,,Home Nations,Edinburgh,22 Feb 1890,Details
3,1890,Scotland,0,6,England,0,2,,Home Nations / Calcutta Cup,Edinburgh,1 Mar 1890,Details
4,1890,Ireland,3,3,Wales,3,0,,Home Nations,Lansdowne Road,1 Mar 1890,Details
5,1890,England,3,0,Ireland,2,0,,Home Nations,Blackheath,15 Mar 1890,Details
6,1890,"
Records include the following current or recent matches:
",,,,,,,,,,
7,1890,"

England v Ireland at Blackheath, Home Nations, Mar 15, 1890 [3-0 FT]
",,,,,,,,,,
8,1890,"

Ireland v Wales at Lansdowne Road, Home Nations, Mar 1, 1890 [3-3 FT]
",,,,,,,,,,
9,1890,"

Scotland v England at Edinburgh, Home Nations, Mar 1, 1890 [0-6 FT]
",,,,,,,,,,
10,1891,Wales,3,7,England,0,4,,Home Nations,Newport,3 Jan 1891,Details
11,1891,Scotland,15,0,Wales,4,0,,Home Nations,Edinburgh,7 Feb 1891,Details
12,1891,Ireland,0,9,England,0,2,,Home Nations,Lansdowne Road,7 Feb 1891,Details
13,1891,Ireland,0,14,Scotland,0,7,,Home Nations,Belfast,21 Feb 1891,Details
14,1891,England,3,9,Scotland,0,3,,Home Nations / Calcutta Cup,Richmond,7 Mar 1891,Details
15,1891,Wales,6,4,Ireland,6,1,,Home Nations,Llanelli,7 Mar 1891,Details
16,1891,South Africa,0,4,Britain,0,4,,Great Britain tour,Port Elizabeth,30 Jul 1891,Details
17,1891,South Africa,0,3,Britain,0,3,,Great Britain tour,Kimberley,29 Aug 1891,Details
18,1891,South Africa,0,4,Britain,-,-,,Great Britain tour,Cape Town,5 Sep 1891,Details
19,1891,"
Records include the following current or recent matches:
",,,,,,,,,,
20,1891,"

South Africa v Great Britain at Cape Town, 3rd Test, Sep 5, 1891 [0-4 FT]
",,,,,,,,,,
21,1891,"

South Africa v Great Britain at Kimberley, 2nd Test, Aug 29, 1891 [0-3 FT]
",,,,,,,,,,
22,1891,"

South Africa v Great Britain at Port Elizabeth, 1st Test, Jul 30, 1891 [0-4 FT]
",,,,,,,,,,
23,1892,England,17,0,Wales,7,0,,Home Nations,Blackheath,2 Jan 1892,Details
24,1892,England,7,0,Ireland,-,-,,Home Nations,Manchester,6 Feb 1892,Details
25,1892,Wales,2,7,Scotland,2,7,,Home Nations,Swansea,6 Feb 1892,Details
26,1892,Scotland,2,0,Ireland,2,0,,Home Nations,Edinburgh,20 Feb 1892,Details
27,1892,Scotland,0,5,England,0,5,,Home Nations / Calcutta Cup,Edinburgh,5 Mar 1892,Details
28,1892,Ireland,9,0,Wales,7,0,,Home Nations,Lansdowne Road,5 Mar 1892,Details
29,1892,"
Records include the following current or recent matches:
",,,,,,,,,,
30,1892,"

Ireland v Wales at Lansdowne Road, Home Nations, Mar 5, 1892 [9-0 FT]
",,,,,,,,,,
31,1892,"

Scotland v England at Edinburgh, Home Nations, Mar 5, 1892 [0-5 FT]
",,,,,,,,,,
32,1892,"

Scotland v Ireland at Edinburgh, Home Nations, Feb 20, 1892 [2-0 FT]
",,,,,,,,,,
33,1893,Wales,12,11,England,0,7,,Home Nations,Cardiff,7 Jan 1893,Details
34,1893,Scotland,0,9,Wales,-,-,,Home Nations,Edinburgh,4 Feb 1893,Details
35,1893,Ireland,0,4,England,0,2,,Home Nations,Lansdowne Road,4 Feb 1893,Details
36,1893,Ireland,0,0,Scotland,-,-,,Home Nations,Belfast,18 Feb 1893,Details
37,1893,England,0,8,Scotland,0,4,,Home Nations / Calcutta Cup,Leeds,4 Mar 1893,Details
38,1893,Wales,2,0,Ireland,2,0,,Home Nations,Llanelli,11 Mar 1893,Details
39,1893,"
Records include the following current or recent matches:
",,,,,,,,,,
40,1893,"

Wales v Ireland at Llanelli, Home Nations, Mar 11, 1893 [2-0 FT]
",,,,,,,,,,
41,1893,"

England v Scotland at Leeds, Home Nations, Mar 4, 1893 [0-8 FT]
",,,,,,,,,,
42,1893,"

Ireland v Scotland at Belfast, Home Nations, Feb 18, 1893 [0-0 FT]
",,,,,,,,,,
43,1894,England,24,3,Wales,9,0,,Home Nations,Birkenhead,6 Jan 1894,Details
44,1894,England,5,7,Ireland,0,3,,Home Nations,Blackheath,3 Feb 1894,Details
45,1894,Wales,7,0,Scotland,3,0,,Home Nations,Newport,3 Feb 1894,Details
46,1894,Ireland,5,0,Scotland,-,-,,Home Nations,Lansdowne Road,24 Feb 1894,Details
47,1894,Ireland,3,0,Wales,3,0,,Home Nations,Belfast,10 Mar 1894,Details
48,1894,Scotland,6,0,England,-,-,,Home Nations / Calcutta Cup,Edinburgh,17 Mar 1894,Details
49,1894,"
Records include the following current or recent matches:
",,,,,,,,,,
50,1894,"

Scotland v England at Edinburgh, Home Nations, Mar 17, 1894 [6-0 FT]
",,,,,,,,,,
51,1894,"

Ireland v Wales at Belfast, Home Nations, Mar 10, 1894 [3-0 FT]
",,,,,,,,,,
52,1894,"

Ireland v Scotland at Lansdowne Road, Home Nations, Feb 24, 1894 [5-0 FT]
",,,,,,,,,,
53,1895,Wales,6,14,England,3,3,,Home Nations,Swansea,5 Jan 1895,Details
54,1895,Scotland,5,4,Wales,-,-,,Home Nations,Edinburgh,26 Jan 1895,Details
55,1895,Ireland,3,6,England,-,-,,Home Nations,Lansdowne Road,2 Feb 1895,Details
56,1895,Scotland,6,0,Ireland,-,-,,Home Nations,Edinburgh,2 Mar 1895,Details
57,1895,England,3,6,Scotland,3,6,,Home Nations / Calcutta Cup,Richmond,9 Mar 1895,Details
58,1895,Wales,5,3,Ireland,5,3,,Home Nations,Cardiff,16 Mar 1895,Details
59,1895,"
Records include the following current or recent matches:
",,,,,,,,,,
60,1895,"

Wales v Ireland at Cardiff, Home Nations, Mar 16, 1895 [5-3 FT]
",,,,,,,,,,
61,1895,"

England v Scotland at Richmond, Home Nations, Mar 9, 1895 [3-6 FT]
",,,,,,,,,,
