,0,1
0,New Zealand,2891.0
1,South Africa,2818.0
2,England,2798.0
3,Ireland,2681.0
4,Wales,2605.0
5,Australia,2522.0
6,France,2522.0
7,Lions,2498.0
8,Scotland,2496.0
9,Japan,2411.0
10,Fiji,2288.0
11,Georgia,2271.0
12,Argentina,2261.0
13,Tonga,2112.0
14,USA,2090.0
15,Italy,2083.0
16,Samoa,2066.0
17,Spain,2039.0
18,Uruguay,2023.0
19,Hong Kong,1944.0
20,Romania,1939.0
21,Portugal,1920.0
22,Netherlands,1874.0
23,Namibia,1863.0
24,Russia,1828.0
25,Colombia,1816.0
26,Canada,1750.0
27,Trinidad & T,1744.0
28,Soviet Union,1743.0
29,Brazil,1738.0
30,Algeria,1735.0
31,Kenya,1731.0
32,Qatar,1725.0
33,Belgium,1689.0
34,Mali,1675.0
35,Mexico,1674.0
36,Switzerland,1671.0
37,Lebanon,1643.0
38,Zimbabwe,1640.0
39,Korea,1633.0
40,Reunion,1627.0
41,Madagascar,1625.0
42,PNG,1622.0
43,Gibraltar,1612.0
44,Cook Islands,1606.0
45,Macau,1589.0
46,Ivory Coast,1585.0
47,Pacific Is,1580.0
48,Morocco,1577.0
49,Britain,1576.0
50,Sri Lanka,1565.0
51,Tunisia,1557.0
52,Philippines,1556.0
53,Burkina Faso,1555.0
54,UAE,1554.0
55,Paraguay,1550.0
56,Uganda,1548.0
57,S America,1547.0
58,Chile,1543.0
59,Niue Island,1539.0
60,Malta,1534.0
61,DR Congo,1529.0
62,Germany,1528.0
63,Martinique,1525.0
64,Niger,1525.0
65,Senegal,1524.0
66,Czechia,1521.0
67,Guatemala,1516.0
68,Ukraine,1507.0
69,Bermuda,1505.0
70,Tanzania,1495.0
71,Turk & Caic,1489.0
72,Tahiti,1486.0
73,US Virgin Islands,1481.0
74,Poland,1472.0
75,Kazakhstan,1472.0
76,Croatia,1471.0
77,Anglo-Welsh,1467.0
78,Arabian Gulf,1461.0
79,Tokelau,1457.0
80,Nigeria,1449.0
81,Malawi,1449.0
82,Guadeloupe,1443.0
83,New Hebrides,1435.0
84,American Samoa,1428.0
85,Egypt,1425.0
86,Bahamas,1422.0
87,Cayman Is,1419.0
88,Bolivia,1417.0
89,Saudi Arabia,1415.0
90,Mongolia,1415.0
91,Malaysia,1407.0
92,Jamaica,1399.0
93,Lithuania,1384.0
94,Solomon Is,1383.0
95,Costa Rica,1382.0
96,Iran,1382.0
97,Dominican,1380.0
98,Libya,1377.0
99,Singapore,1372.0
100,N Caledonia,1371.0
101,Mayotte,1369.0
102,West Germany,1364.0
103,Wallis & For,1361.0
104,Cameroon,1359.0
105,Peru,1354.0
106,Panama,1354.0
107,Guyana,1353.0
108,Ghana,1348.0
109,Luxembourg,1342.0
110,Nicaragua,1334.0
111,Venezuela,1326.0
112,Barbados,1326.0
113,Lesotho,1316.0
114,Jordan,1307.0
115,China,1307.0
116,Honduras,1291.0
117,Sweden,1290.0
118,Rwanda,1288.0
119,Israel,1286.0
120,Bulgaria,1285.0
121,Thailand,1283.0
122,Zambia,1282.0
123,Guam,1280.0
124,Kyrgyzstan,1277.0
125,Mauritania,1269.0
126,Armenia,1268.0
127,Denmark,1266.0
128,Belarus,1255.0
129,Mauritius,1254.0
130,B Virgin Is,1249.0
131,St Lucia,1245.0
132,Latvia,1244.0
133,Hungary,1244.0
134,Chad,1243.0
135,Nauru,1238.0
136,Swaziland,1236.0
137,Curacao,1231.0
138,Laos,1222.0
139,Cambodia,1209.0
140,Vanuatu,1201.0
141,C Taipai,1200.0
142,Botswana,1199.0
143,Uzbekistan,1196.0
144,Moldova,1178.0
145,Togo,1175.0
146,Montenegro,1173.0
147,Turkey,1173.0
148,Slovenia,1172.0
149,Cyprus,1164.0
150,El Salvador,1124.0
151,East Germany,1122.0
152,Serbia & Mon,1121.0
153,Andorra,1114.0
154,Pakistan,1110.0
155,St V&G,1102.0
156,India,1100.0
157,Finland,1091.0
158,Burundi,1066.0
159,Monaco,1027.0
160,Austria,1001.0
161,Benin,982.0
162,Bosnia & Her,961.0
163,Brunei,940.0
164,Ecuador,933.0
165,Indonesia,913.0
166,Greece,910.0
167,Norway,875.0
168,Slovakia,815.0
169,Azerbaijan,798.0
170,Estonia,724.0
