      Ireland      ,2852,,, ,Rank,Ireland,Wales,England,Scotland,France,Italy,,,
       Wales       ,2694,,,      Ireland      ,2852,1,0.610402422,0.810095159,0.808317673,0.971968133,0.984398338, ,,
      England      ,2680,,,       Wales       ,2694,0.389597578,1,0.632070012,0.629388547,0.847538724,0.962135163,,,
      Scotland     ,2522,,,      England      ,2680,0.189904841,0.367929988,1,0.797386314,0.927966841,0.983301151,,,
       France      ,2316,,,      Scotland     ,2522,0.191682327,0.370611453,0.202613686,1,0.673776188,0.959536674,,,
       Italy       ,2052,,,       France      ,2316,0.028031867,0.152461276,0.072033159,0.326223812,1,0.742535559,,,
,,,,       Italy       ,2052,0.015601662,0.037864837,0.016698849,0.040463326,0.257464441,1,,,
,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
