minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,1726.343783,2593.185633,0.006760045,0.993239955, 
80,0,0,0,0,-18.5, , ,,,
78,2,3,0,3,-18.5,,,,,
71,9,3,3,0,-18.5,,,,,
62,18,3,6,-3,-18.5,,,,,
61,19,8,6,2,-18.5,,,,,
61,19,10,6,4,-18.5,,,,,
58,22,10,9,1,-18.5,,,,,
57,23,10,14,-4,-18.5,,,,,
41,39,10,17,-7,-18.5,,,,,
36,44,10,22,-12,-18.5,,,,,
36,44,10,24,-14,-18.5,,,,,
34,46,13,24,-11,-18.5,,,,,
32,48,16,24,-8,-18.5,,,,,
29,51,19,24,-5,-18.5,,,,,
26,54,22,24,-2,-18.5,,,,,
25,55,27,24,3,-18.5,,,,,
25,55,29,24,5,-18.5,,,,,
21,59,34,24,10,-18.5,,,,,
21,59,36,24,12,-18.5,,,,,
7,73,41,24,17,-18.5,,,,,
7,73,43,24,19,-18.5,,,,,
1,79,43,29,14,-18.5,,,,,
1,79,43,31,12,-18.5,,,,,
