,Ireland,Scotland,Japan,Russia,Samoa,,,New.Zealand,South.Africa,Italy,Namibia,Canada,,,England,France,Argentina,USA,Tonga,,,Australia,Wales,Georgia,Fiji,Uruguay,
1,0.8664,0.1082,0.0247,0.0009,0.0008, ,1,0.9094,0.0895,0.0016,0.0002,0.0001,,1,0.8364,0.0611,0.0331,0.0439,0.0184,,1,0.1774,0.7447,0.012,0.0623,0.0007,
2,0.1158,0.642,0.2019,0.0214,0.0191, ,2,0.0882,0.8535,0.0348,0.0111,0.0097,,2,0.1259,0.3152,0.1945,0.2421,0.1233,,2,0.4706,0.1999,0.0788,0.2327,0.0145,
3,0.017,0.2066,0.5519,0.1164,0.1015, ,3,0.0024,0.0476,0.5225,0.2471,0.19,,3,0.0279,0.2732,0.2446,0.2613,0.1885,,3,0.2534,0.0456,0.2123,0.4165,0.0737,
4,0.0007,0.0356,0.1609,0.4253,0.3818, ,4,0,0.0085,0.2812,0.3764,0.33,,4,0.0083,0.206,0.2698,0.2391,0.2839,,4,0.082,0.0095,0.4541,0.2102,0.2458,
5,0.0001,0.0076,0.0606,0.436,0.4968, ,5,0,0.0009,0.1599,0.3652,0.4702,,5,0.0015,0.1445,0.258,0.2136,0.3859,,5,0.0166,0.0003,0.2428,0.0783,0.6653,
avgWins,3.8255,2.77,1.9549,0.7653,0.6843,  ,avgWins,3.9014,3.0022,1.4252,0.918,0.7532,,avgWins,3.666,1.9318,1.5215,1.6849,1.1958,,avgWins,2.6519,3.6072,1.2218,2.0022,0.5169,
,98.22,75.02,22.66,2.23,1.99, ,,99.76,94.3,3.64,1.13,0.98, ,,96.23,37.63,22.76,28.6,14.17, ,,64.8,94.46,9.08,29.5,1.52,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, , ,,,,,,,,,,,,,,,,,,,,,
    New Zealand    ,2922,,A1,Ireland,0.8664,0.705905946,,D1,Australia,0.1774,0.127469662,,B1,New.Zealand,0.9094,0.81073785,,C1,England,0.8364,0.631584248,,,,,,
      Ireland      ,2852,,,Scotland,0.1082,0.044720746,,,Wales,0.7447,0.654598335,,,South.Africa,0.0895,0.05138972,,,France,0.0611,0.017524423,,,,,,
       Wales       ,2694,,,Japan,0.0247,0.004411912,,,Georgia,0.012,0.004312506,,,Italy,0.0016,0.00009998,,,Argentina,0.0331,0.007654346,,,,,,
      England      ,2680,,,Russia,0.0009,0.000100271,,,Fiji,0.0623,0.035904122,,,Namibia,0.0002,0,,,USA,0.0439,0.011682949,,,,,,
    South Africa   ,2554,,,Samoa,0.0008,0.000100271,,,Uruguay,0.0007,0,,,Canada,0.0001,0,,,Tonga,0.0184,0.003424313,,,,,,
      Scotland     ,2522,,B2,New.Zealand,0.0882,0.058558107,,C2,England,0.1259,0.068498646,,A2,Ireland,0.1158,0.05258948,,D2,Australia,0.4706,0.154094068,,,,,,
     Australia     ,2477,,,South.Africa,0.8535,0.184798957,,,France,0.3152,0.046936115,,,Scotland,0.642,0.07638472,,,Wales,0.1999,0.119246651,,,,,,
