Home Team,Away Team,Avg. Margin
USA,Wales,-30.5
Tonga,Wales,-11
South Africa,Wales,19.28571429
Scotland,Wales,0.288135593
Samoa,Wales,-0.5
New Zealand,Wales,30.64285714
Namibia,Wales,-25.5
Japan,Wales,-22.6
Italy,Wales,-15.5
Ireland,Wales,1.615384615
France,Wales,2.604166667
Fiji,Wales,-21
England,Wales,5.328358209
Canada,Wales,-24.85714286
Australia,Wales,14.33333333
Argentina,Wales,-4.625
Wales,USA,32.33333333
Uruguay,USA,-17.85714286
Tonga,USA,16.85714286
South Africa,USA,56.5
Scotland,USA,31.33333333
Samoa,USA,4.75
Russia,USA,-15.8
New Zealand,USA,40
Japan,USA,0.307692308
Italy,USA,18.66666667
Ireland,USA,32
Georgia,USA,0.333333333
France,USA,7.333333333
Fiji,USA,11.4
England,USA,43
Canada,USA,7.5
Australia,USA,47.4
Argentina,USA,19.16666667
Wales,Uruguay,45
USA,Uruguay,14.6
South Africa,Uruguay,77.66666667
Scotland,Uruguay,31
Samoa,Uruguay,47
Russia,Uruguay,3
Namibia,Uruguay,-10.5
Japan,Uruguay,31
Italy,Uruguay,32
Georgia,Uruguay,5.75
Fiji,Uruguay,36
England,Uruguay,77.5
Canada,Uruguay,16.125
Australia,Uruguay,62
Argentina,Uruguay,55.3826087
Wales,Tonga,34.5
USA,Tonga,5.5
South Africa,Tonga,34.5
Scotland,Tonga,19.5
Samoa,Tonga,2.074074074
New Zealand,Tonga,58.2
Namibia,Tonga,-10
Japan,Tonga,-1.647058824
Italy,Tonga,14.4
Ireland,Tonga,23
Georgia,Tonga,1.5
France,Tonga,19.5
Fiji,Tonga,9.346153846
England,Tonga,53.5
Canada,Tonga,6.571428571
Australia,Tonga,31.25
Argentina,Tonga,29
Wales,South Africa,-3.681818182
USA,South Africa,-27
Scotland,South Africa,-14.45
Samoa,South Africa,-37.5
New Zealand,South Africa,9.346938776
Namibia,South Africa,-87
Japan,South Africa,2
Italy,South Africa,-20.42857143
Ireland,South Africa,-0.823529412
Georgia,South Africa,-27
France,South Africa,-4.65
Fiji,South Africa,-31.5
England,South Africa,-0.846153846
Australia,South Africa,4.886363636
Argentina,South Africa,-11.29411765
Wales,Scotland,-0.775510204
USA,Scotland,-19.66666667
South Africa,Scotland,16.71428571
Samoa,Scotland,-7.25
New Zealand,Scotland,22
Japan,Scotland,-18.5
Italy,Scotland,-1.933333333
Ireland,Scotland,2.383333333
Georgia,Scotland,-9
France,Scotland,5.428571429
Fiji,Scotland,4
England,Scotland,6.508196721
Canada,Scotland,-12.33333333
Australia,Scotland,14.84615385
Argentina,Scotland,-3.9
