Difference_in_Ratings,Higher_Rated,Point_Spread,,,,,,,,,
0,0.5,0,,,,,,,,,
10,0.514,,,,,,,,,,
20,0.529,1.5,,,,,,, , , 
30,0.543,2.5,,,,,,,,,
40,0.557,3,,,,,,,,,
50,0.571,4,,,,,,,,,
60,0.585,,,,,,,,,,
70,0.599,5.5,,,,,,,,,
80,0.613,6,,,,,,,,,
90,0.627,,,,,,,,,,
100,0.64,7.5,,,,,,,,,
110,0.653,8,,,,,,,,,
120,0.666,8.5,,, ,,,,,,
130,0.679,,,, ,,,,,,
140,0.691,9.5,,,,,,,,,
150,0.703,10,,,,,,,,,
160,0.715,10.5,,,,,,,,,
170,0.727,11,,,,,,,,,
180,0.738,11.5,,,,,,,,,
190,0.749,,,,,,,,,,
200,0.76,12,,,,,,,,,
210,0.77,12.5,,,,,,,,,
220,0.78,,,,,,,,,,
230,0.79,13,,,,,,,,,
240,0.799,,,,,,,,,,
250,0.808,13.5,,,,,,,,,
260,0.817,,,,,,,,,,
270,0.826,14,,,,,,,,,
280,0.834,,,,,,,,,,
290,0.841,,,,,,,,,,
300,0.849,14.5,,,,,,,,,
310,0.856,,,,,,,,,,
320,0.863,,,,,,,,,,
330,0.87,,,,,,,,,,
340,0.876,15,,,,,,,,,
350,0.882,,,,,,,,,,
360,0.888,,,,,,,,,,
370,0.894,, ,,,,,,,,
380,0.899,15.5, ,,,,,,,,
390,0.904,, ,,,,,,,,
400,0.909,, ,,,,,,,,
410,0.914,,,,,,,,,,
420,0.918,,,,,,,,,,
430,0.922,,,,,,,,,,
440,0.926,,,,,,,,,,
450,0.93,,,,,,,,,,
460,0.934,,,,,,,,,,
470,0.937,,,,,,,,,,
480,0.941,16,,,,,,,,,
490,0.944,,,,,,,,,,
500,0.947,,,,,,,,,,
510,0.95,,,,,,,,,,
520,0.952,,,,,,,,,,
530,0.955,,,,,,,,,,
540,0.957,,,,,,,,,,
550,0.96,,,,,,,,,,
560,0.962,,,,,,,,,,
570,0.964,16.5,,,,,,,,,
580,0.966,,,,,,,,,,
590,0.968,,,,,,,,,,
600,0.969,,,,,,,,,,
610,0.971,17,,,,,,,,,
620,0.973,,,,,,,,,,
630,0.974,,,,,,,,,,
640,0.975,,,,,,,,,,
650,0.977,,,,,,,,,,
660,0.978,,,,,,,,,,
670,0.979,,,,,,,,,,
680,0.98,,,,,,,,,,
690,0.982,,,,,,,,,,
700,0.983,,,,,,,,,,
710,0.983,,,,,,,,,,
720,0.984,,,,,,,,,,
730,0.985,17.5,,,,,,,,,
740,0.986,,,,,,,,,,
750,0.987,,,,,,,,,,
760,0.988,,,,,,,,,,
770,0.988,,,,,,,,,,
780,0.989,,,,,,,,,,
790,0.99,18,,,,,,,,,
800,0.99,,,,,,,,,,
810,0.991,,,,,,,,,,
820,0.991,,,,,,,,,,
830,0.992,,,,,,,,,,
840,0.992,,,,,,,,,,
850,0.993,,,,,,,,,,
860,0.993,,,,,,,,,,
870,0.993,,,,,,,,,,
880,0.994,,,,,,,,,,
890,0.994,,,,,,,,,,
900,0.994,19,,,,,,,,,
910,0.995,,,,,,,,,,
920,0.995,,,,,,,,,,
930,0.995,,,,,,,,,,
940,0.996,,,,,,,,,,
950,0.996,,,,,,,,,,
960,0.996,,,,,,,,,,
970,0.996,,,,,,,,,,
980,0.996,,,,,,,,,,
990,0.997,,,,,,,,,,
1000,0.997,20,,,,,,,,,
0,0.5,,,,,,,,,,
