,Date,Team,ELOR
0,1 Feb 1890,Wales,1452.813294
1,1 Feb 1890,Scotland,1547.186706
2,15 Feb 1890,England,1481.456086
3,15 Feb 1890,Wales,1471.357208
4,22 Feb 1890,Scotland,1570.910758
5,22 Feb 1890,Ireland,1476.275948
6,1 Mar 1890,Scotland,1514.845032
7,1 Mar 1890,England,1537.521812
8,1 Mar 1890,Ireland,1476.275948
9,1 Mar 1890,Wales,1471.357208
10,15 Mar 1890,England,1554.8971800000002
11,15 Mar 1890,Ireland,1458.90058
12,3 Jan 1891,Wales,1439.95914
13,3 Jan 1891,England,1586.2952480000001
14,7 Feb 1891,Scotland,1547.749809
15,7 Feb 1891,Wales,1407.0543630000002
16,7 Feb 1891,Ireland,1419.7388230000001
17,7 Feb 1891,England,1625.457005
18,21 Feb 1891,Ireland,1373.774892
19,21 Feb 1891,Scotland,1593.7137400000001
20,7 Mar 1891,England,1574.951259
21,7 Mar 1891,Scotland,1644.219486
22,7 Mar 1891,Wales,1422.3901939999998
23,7 Mar 1891,Ireland,1358.439061
24,30 Jul 1891,South Africa,1460.972467
25,30 Jul 1891,Britain,1539.027533
26,29 Aug 1891,South Africa,1433.4902630000001
27,29 Aug 1891,Britain,1566.5097369999999
28,5 Sep 1891,South Africa,1406.625381
29,5 Sep 1891,Britain,1593.374619
30,2 Jan 1892,England,1599.512508
31,2 Jan 1892,Wales,1397.828945
32,6 Feb 1892,England,1611.1118310000002
33,6 Feb 1892,Ireland,1346.8397380000001
34,6 Feb 1892,Wales,1378.360409
35,6 Feb 1892,Scotland,1663.688022
36,20 Feb 1892,Scotland,1667.855165
37,20 Feb 1892,Ireland,1342.672595
38,5 Mar 1892,Scotland,1619.055599
39,5 Mar 1892,England,1659.911397
40,5 Mar 1892,Ireland,1383.533598
41,5 Mar 1892,Wales,1337.4994060000001
42,7 Jan 1893,Wales,1359.852656
43,7 Jan 1893,England,1637.558147
44,4 Feb 1893,Scotland,1538.716643
45,4 Feb 1893,Wales,1440.1916119999999
46,4 Feb 1893,Ireland,1366.6000880000001
47,4 Feb 1893,England,1654.491657
48,18 Feb 1893,Ireland,1366.6000880000001
49,18 Feb 1893,Scotland,1538.716643
50,4 Mar 1893,England,1588.596863
51,4 Mar 1893,Scotland,1604.611437
52,11 Mar 1893,Wales,1453.298262
53,11 Mar 1893,Ireland,1353.493438
54,6 Jan 1894,England,1616.977914
55,6 Jan 1894,Wales,1424.917211
56,3 Feb 1894,England,1578.527294
57,3 Feb 1894,Ireland,1391.944058
58,3 Feb 1894,Wales,1478.679301
59,3 Feb 1894,Scotland,1550.849347
60,24 Feb 1894,Ireland,1436.27377
61,24 Feb 1894,Scotland,1506.5196349999999
62,10 Mar 1894,Ireland,1461.405105
63,10 Mar 1894,Wales,1453.547966
64,17 Mar 1894,Scotland,1545.102506
65,17 Mar 1894,England,1539.9444230000001
66,5 Jan 1895,Wales,1411.043776
67,5 Jan 1895,England,1582.448613
68,26 Jan 1895,Scotland,1551.501851
69,26 Jan 1895,Wales,1404.644431
70,2 Feb 1895,Ireland,1437.330758
71,2 Feb 1895,England,1606.52296
72,2 Mar 1895,Scotland,1571.097793
73,2 Mar 1895,Ireland,1417.734816
74,9 Mar 1895,England,1570.2752449999998
75,9 Mar 1895,Scotland,1607.345508
76,16 Mar 1895,Wales,1422.740907
77,16 Mar 1895,Ireland,1399.63834
78,4 Jan 1896,England,1598.59754
79,4 Jan 1896,Wales,1394.418612
80,25 Jan 1896,Wales,1448.0324449999998
81,25 Jan 1896,Scotland,1553.731675
82,1 Feb 1896,England,1534.107223
83,1 Feb 1896,Ireland,1464.128657
84,15 Feb 1896,Ireland,1464.128657
85,15 Feb 1896,Scotland,1553.731675
86,14 Mar 1896,Scotland,1590.215082
87,14 Mar 1896,England,1497.623816
88,14 Mar 1896,Ireland,1488.063091
89,14 Mar 1896,Wales,1424.098011
90,30 Jul 1896,South Africa,1376.3428720000002
91,30 Jul 1896,Britain,1623.6571279999998
92,22 Aug 1896,South Africa,1351.420673
93,22 Aug 1896,Britain,1648.579327
94,29 Aug 1896,South Africa,1334.467727
95,29 Aug 1896,Britain,1665.532273
96,5 Sep 1896,South Africa,1392.800294
97,5 Sep 1896,Britain,1607.199706
98,9 Jan 1897,Wales,1473.585177
99,9 Jan 1897,England,1448.13665
100,6 Feb 1897,Ireland,1509.973186
101,6 Feb 1897,England,1426.226555
102,20 Feb 1897,Scotland,1611.021211
103,20 Feb 1897,Ireland,1489.167057
104,13 Mar 1897,England,1486.373776
105,13 Mar 1897,Scotland,1550.87399
106,5 Feb 1898,England,1452.970346
107,5 Feb 1898,Ireland,1522.570487
108,19 Feb 1898,Ireland,1472.758044
109,19 Feb 1898,Scotland,1600.686433
110,12 Mar 1898,Scotland,1600.686433
111,12 Mar 1898,England,1452.970346
112,19 Mar 1898,Ireland,1419.577048
113,19 Mar 1898,Wales,1526.766173
114,2 Apr 1898,England,1494.4149699999998
115,2 Apr 1898,Wales,1485.321549
116,7 Jan 1899,Wales,1536.963616
117,7 Jan 1899,England,1442.772903
118,4 Feb 1899,Ireland,1452.732773
119,4 Feb 1899,England,1409.617178
120,18 Feb 1899,Scotland,1539.753705
121,18 Feb 1899,Ireland,1513.665501
122,4 Mar 1899,Scotland,1578.502937
123,4 Mar 1899,Wales,1498.2143839999999
124,11 Mar 1899,England,1383.23337
125,11 Mar 1899,Scotland,1604.886745
126,18 Mar 1899,Wales,1465.7849
127,18 Mar 1899,Ireland,1546.094985
128,24 Jun 1899,Australia,1552.392077
129,24 Jun 1899,Britain,1554.807629
130,22 Jul 1899,Australia,1492.4653369999999
131,22 Jul 1899,Britain,1614.734369
132,5 Aug 1899,Australia,1480.476175
133,5 Aug 1899,Britain,1626.723531
134,12 Aug 1899,Australia,1438.365586
135,12 Aug 1899,Britain,1668.83412
136,6 Jan 1900,England,1336.317204
137,6 Jan 1900,Wales,1512.701066
138,27 Jan 1900,Wales,1561.029916
139,27 Jan 1900,Scotland,1556.557895
140,3 Feb 1900,England,1404.393568
141,3 Feb 1900,Ireland,1478.0186210000002
142,24 Feb 1900,Ireland,1478.0186210000002
143,24 Feb 1900,Scotland,1556.557895
144,10 Mar 1900,Scotland,1556.557895
145,10 Mar 1900,England,1404.393568
146,17 Mar 1900,Ireland,1450.93165
147,17 Mar 1900,Wales,1588.116887
148,5 Jan 1901,Wales,1607.537108
149,5 Jan 1901,England,1384.973347
150,9 Feb 1901,Scotland,1601.203988
151,9 Feb 1901,Wales,1562.891015
152,9 Feb 1901,Ireland,1470.729921
153,9 Feb 1901,England,1365.175076
154,23 Feb 1901,Scotland,1616.299991
155,23 Feb 1901,Ireland,1455.633918
156,9 Mar 1901,England,1335.643413
157,9 Mar 1901,Scotland,1645.8316539999998
158,16 Mar 1901,Wales,1570.0811820000001
159,16 Mar 1901,Ireland,1448.443751
160,11 Jan 1902,England,1327.7287099999999
161,11 Jan 1902,Wales,1577.995885
162,1 Feb 1902,Wales,1623.097698
163,1 Feb 1902,Scotland,1600.729841
164,8 Feb 1902,England,1359.083683
165,8 Feb 1902,Ireland,1417.0887779999998
166,22 Feb 1902,Ireland,1463.784375
167,22 Feb 1902,Scotland,1554.034244
168,8 Mar 1902,Ireland,1421.526613
169,8 Mar 1902,Wales,1665.35546
170,15 Mar 1902,Scotland,1508.273177
171,15 Mar 1902,England,1404.84475
172,10 Jan 1903,Wales,1679.6980620000002
173,10 Jan 1903,England,1390.502148
174,7 Feb 1903,Scotland,1557.729523
175,7 Feb 1903,Wales,1630.241716
176,14 Feb 1903,Ireland,1448.920164
177,14 Feb 1903,England,1363.1085970000001
178,28 Feb 1903,Scotland,1572.014873
179,28 Feb 1903,Ireland,1434.634814
180,14 Mar 1903,Wales,1650.7255710000002
181,14 Mar 1903,Ireland,1414.150959
182,21 Mar 1903,England,1342.742565
183,21 Mar 1903,Scotland,1592.380905
184,15 Aug 1903,Australia,1376.148293
185,15 Aug 1903,New Zealand,1562.217293
186,26 Aug 1903,South Africa,1392.800294
187,26 Aug 1903,Britain,1668.83412
188,5 Sep 1903,South Africa,1392.800294
189,5 Sep 1903,Britain,1668.83412
190,12 Sep 1903,South Africa,1459.6848630000002
191,12 Sep 1903,Britain,1601.949551
192,9 Jan 1904,England,1342.742565
193,9 Jan 1904,Wales,1650.7255710000002
194,6 Feb 1904,Wales,1688.054834
195,6 Feb 1904,Scotland,1555.051642
196,13 Feb 1904,England,1402.0375880000001
197,13 Feb 1904,Ireland,1354.855936
198,27 Feb 1904,Ireland,1317.764222
199,27 Feb 1904,Scotland,1592.143356
200,12 Mar 1904,Ireland,1354.931511
201,12 Mar 1904,Wales,1650.8875449999998
202,19 Mar 1904,Scotland,1602.042443
203,19 Mar 1904,England,1392.138501
204,2 Jul 1904,Australia,1341.95999
205,2 Jul 1904,Britain,1636.1378539999998
206,23 Jul 1904,Australia,1318.049067
207,23 Jul 1904,Britain,1660.048777
208,30 Jul 1904,Australia,1297.986789
209,30 Jul 1904,Britain,1680.111055
210,13 Aug 1904,New Zealand,1605.918443
211,13 Aug 1904,Britain,1636.409905
212,14 Jan 1905,Wales,1667.527693
213,14 Jan 1905,England,1375.498353
214,4 Feb 1905,Scotland,1573.557809
215,4 Feb 1905,Wales,1696.012327
216,11 Feb 1905,Ireland,1400.672566
217,11 Feb 1905,England,1329.757298
218,25 Feb 1905,Scotland,1510.8061109999999
219,25 Feb 1905,Ireland,1463.424264
220,11 Mar 1905,Wales,1708.1078949999999
221,11 Mar 1905,Ireland,1451.328696
222,18 Mar 1905,England,1298.820352
223,18 Mar 1905,Scotland,1541.7430570000001
224,2 Sep 1905,New Zealand,1615.791076
225,2 Sep 1905,Australia,1288.114156
226,18 Nov 1905,Scotland,1505.809723
227,18 Nov 1905,New Zealand,1651.72441
228,25 Nov 1905,Ireland,1415.058766
229,25 Nov 1905,New Zealand,1687.9943399999997
230,2 Dec 1905,England,1283.198281
231,2 Dec 1905,New Zealand,1703.616411
232,16 Dec 1905,Wales,1729.596464
233,16 Dec 1905,New Zealand,1682.127842
234,1 Jan 1906,France,1451.843806
235,1 Jan 1906,New Zealand,1730.284036
236,13 Jan 1906,England,1272.061308
237,13 Jan 1906,Wales,1740.733437
238,3 Feb 1906,Wales,1751.9228440000002
239,3 Feb 1906,Scotland,1494.620316
240,10 Feb 1906,England,1233.367931
241,10 Feb 1906,Ireland,1453.752143
242,24 Feb 1906,Ireland,1408.0927800000002
243,24 Feb 1906,Scotland,1540.279679
244,10 Mar 1906,Ireland,1467.206308
245,10 Mar 1906,Wales,1692.809316
246,17 Mar 1906,Scotland,1470.243733
247,17 Mar 1906,England,1303.403877
248,22 Mar 1906,France,1347.438451
249,22 Mar 1906,England,1407.809232
250,17 Nov 1906,Scotland,1499.763916
251,17 Nov 1906,South Africa,1430.16468
252,24 Nov 1906,Ireland,1430.842051
253,24 Nov 1906,South Africa,1466.5289369999998
254,1 Dec 1906,Wales,1608.353058
255,1 Dec 1906,South Africa,1550.985195
256,8 Dec 1906,England,1407.809232
257,8 Dec 1906,South Africa,1550.985195
258,5 Jan 1907,England,1450.159987
259,5 Jan 1907,France,1305.087696
260,12 Jan 1907,Wales,1634.323216
261,12 Jan 1907,England,1424.189829
262,2 Feb 1907,Scotland,1532.199212
263,2 Feb 1907,Wales,1601.88792
264,9 Feb 1907,Ireland,1464.6414539999998
265,9 Feb 1907,England,1390.390426
266,23 Feb 1907,Scotland,1563.55072
267,23 Feb 1907,Ireland,1433.289946
268,9 Mar 1907,Wales,1628.744185
269,9 Mar 1907,Ireland,1406.433681
270,16 Mar 1907,England,1364.4153800000001
271,16 Mar 1907,Scotland,1589.525766
272,20 Jul 1907,Australia,1274.983684
273,20 Jul 1907,New Zealand,1743.4145079999998
274,3 Aug 1907,Australia,1266.315117
275,3 Aug 1907,New Zealand,1752.083075
276,10 Aug 1907,Australia,1266.315117
277,10 Aug 1907,New Zealand,1752.083075
278,1 Jan 1908,France,1242.473502
279,1 Jan 1908,England,1427.029574
280,18 Jan 1908,England,1395.82126
281,18 Jan 1908,Wales,1659.952499
282,1 Feb 1908,Wales,1668.328001
283,1 Feb 1908,Scotland,1581.150264
284,8 Feb 1908,England,1434.9886
285,8 Feb 1908,Ireland,1367.266341
286,29 Feb 1908,Ireland,1416.717638
287,29 Feb 1908,Scotland,1531.698967
288,2 Mar 1908,Wales,1675.736582
289,2 Mar 1908,France,1235.0649210000001
290,14 Mar 1908,Ireland,1396.674734
291,14 Mar 1908,Wales,1695.779486
292,21 Mar 1908,Scotland,1552.805325
293,21 Mar 1908,England,1413.882242
294,6 Jun 1908,New Zealand,1769.679603
295,6 Jun 1908,Anglo-Welsh,1482.403472
296,27 Jun 1908,New Zealand,1769.679603
297,27 Jun 1908,Anglo-Welsh,1482.403472
298,25 Jul 1908,New Zealand,1784.710448
299,25 Jul 1908,Anglo-Welsh,1467.372627
300,12 Dec 1908,Wales,1698.659566
301,12 Dec 1908,Australia,1263.435037
302,9 Jan 1909,England,1352.7606529999998
303,9 Jan 1909,Australia,1324.556626
304,16 Jan 1909,Wales,1705.8148629999998
305,16 Jan 1909,England,1345.605356
306,30 Jan 1909,England,1377.677206
307,30 Jan 1909,France,1202.993071
308,6 Feb 1909,Scotland,1535.6835130000002
309,6 Feb 1909,Wales,1722.936675
310,13 Feb 1909,Ireland,1347.4828400000001
311,13 Feb 1909,England,1426.8691
