,Date,Team,ELOR
0,1 Feb 1890,Wales,1452.280542
1,1 Feb 1890,Scotland,1547.719458
2,15 Feb 1890,England,1481.2617380000002
3,15 Feb 1890,Wales,1471.0188039999998
4,22 Feb 1890,Scotland,1570.940671
5,22 Feb 1890,Ireland,1476.778787
6,1 Mar 1890,Scotland,1514.407044
7,1 Mar 1890,England,1537.795365
8,1 Mar 1890,Ireland,1476.778787
9,1 Mar 1890,Wales,1471.0188039999998
10,15 Mar 1890,England,1554.844705
11,15 Mar 1890,Ireland,1459.7294470000002
12,3 Jan 1891,Wales,1439.184329
13,3 Jan 1891,England,1586.67918
14,7 Feb 1891,Scotland,1546.605205
15,7 Feb 1891,Wales,1406.986168
16,7 Feb 1891,Ireland,1419.860774
17,7 Feb 1891,England,1626.547853
18,21 Feb 1891,Ireland,1372.940157
19,21 Feb 1891,Scotland,1593.525822
20,7 Mar 1891,England,1575.405178
21,7 Mar 1891,Scotland,1644.6684970000001
22,7 Mar 1891,Wales,1421.992189
23,7 Mar 1891,Ireland,1357.9341359999999
24,30 Jul 1891,South Africa,1460.531834
25,30 Jul 1891,Britain,1539.468166
26,29 Aug 1891,South Africa,1432.7211029999999
27,29 Aug 1891,Britain,1567.2788970000001
28,5 Sep 1891,South Africa,1405.5438800000002
29,5 Sep 1891,Britain,1594.4561199999998
30,2 Jan 1892,England,1599.321051
31,2 Jan 1892,Wales,1398.076316
32,6 Feb 1892,England,1610.618395
33,6 Feb 1892,Ireland,1346.636792
34,6 Feb 1892,Wales,1378.21371
35,6 Feb 1892,Scotland,1664.531103
36,20 Feb 1892,Scotland,1668.5688
37,20 Feb 1892,Ireland,1342.599095
38,5 Mar 1892,Scotland,1619.2169900000001
39,5 Mar 1892,England,1659.970205
40,5 Mar 1892,Ireland,1382.7971029999999
41,5 Mar 1892,Wales,1338.015702
42,7 Jan 1893,Wales,1360.231304
43,7 Jan 1893,England,1637.7546029999999
44,4 Feb 1893,Scotland,1538.599265
45,4 Feb 1893,Wales,1440.849029
46,4 Feb 1893,Ireland,1365.56986
47,4 Feb 1893,England,1654.9818460000001
48,18 Feb 1893,Ireland,1365.56986
49,18 Feb 1893,Scotland,1538.599265
50,4 Mar 1893,England,1588.5597810000002
51,4 Mar 1893,Scotland,1605.02133
52,11 Mar 1893,Wales,1453.604306
53,11 Mar 1893,Ireland,1352.814583
54,6 Jan 1894,England,1616.358834
55,6 Jan 1894,Wales,1425.805253
56,3 Feb 1894,England,1577.770167
57,3 Feb 1894,Ireland,1391.40325
58,3 Feb 1894,Wales,1478.964553
59,3 Feb 1894,Scotland,1551.86203
60,24 Feb 1894,Ireland,1435.3964310000001
61,24 Feb 1894,Scotland,1507.868849
62,10 Mar 1894,Ireland,1460.2244289999999
63,10 Mar 1894,Wales,1454.136555
64,17 Mar 1894,Scotland,1545.655661
65,17 Mar 1894,England,1539.983355
66,5 Jan 1895,Wales,1410.9311810000002
67,5 Jan 1895,England,1583.188729
68,26 Jan 1895,Scotland,1551.895856
69,26 Jan 1895,Wales,1404.6909859999998
70,2 Feb 1895,Ireland,1435.908428
71,2 Feb 1895,England,1607.50473
72,2 Mar 1895,Scotland,1570.922009
73,2 Mar 1895,Ireland,1416.882275
74,9 Mar 1895,England,1570.814895
75,9 Mar 1895,Scotland,1607.611844
76,16 Mar 1895,Wales,1422.427005
77,16 Mar 1895,Ireland,1399.146256
78,4 Jan 1896,England,1598.397275
79,4 Jan 1896,Wales,1394.844625
80,25 Jan 1896,Wales,1447.959648
81,25 Jan 1896,Scotland,1554.4968210000002
82,1 Feb 1896,England,1533.574215
83,1 Feb 1896,Ireland,1463.969316
84,15 Feb 1896,Ireland,1463.969316
85,15 Feb 1896,Scotland,1554.4968210000002
86,14 Mar 1896,Scotland,1590.146912
87,14 Mar 1896,England,1497.9241240000001
88,14 Mar 1896,Ireland,1487.479922
89,14 Mar 1896,Wales,1424.449042
90,30 Jul 1896,South Africa,1374.936483
91,30 Jul 1896,Britain,1625.063517
92,22 Aug 1896,South Africa,1349.784783
93,22 Aug 1896,Britain,1650.215217
94,29 Aug 1896,South Africa,1332.699562
95,29 Aug 1896,Britain,1667.300438
96,5 Sep 1896,South Africa,1390.9402400000001
97,5 Sep 1896,Britain,1609.0597599999999
98,9 Jan 1897,Wales,1473.213526
99,9 Jan 1897,England,1449.15964
100,6 Feb 1897,Ireland,1509.1084720000001
101,6 Feb 1897,England,1427.53109
102,20 Feb 1897,Scotland,1610.463713
103,20 Feb 1897,Ireland,1488.7916710000002
104,13 Mar 1897,England,1486.8483720000002
105,13 Mar 1897,Scotland,1551.1464310000001
106,5 Feb 1898,England,1452.99957
107,5 Feb 1898,Ireland,1522.6404730000002
108,19 Feb 1898,Ireland,1472.2335369999998
109,19 Feb 1898,Scotland,1601.553367
110,12 Mar 1898,Scotland,1601.553367
111,12 Mar 1898,England,1452.99957
112,19 Mar 1898,Ireland,1418.4687099999999
113,19 Mar 1898,Wales,1526.978353
114,2 Apr 1898,England,1493.867398
115,2 Apr 1898,Wales,1486.110525
