HomeTeam,AwayTeam,HomeScore,AwayScore,Date,HomeRanking,AwayRanking
New Zealand,France,52,11,6/9/18,93.99,79.1
New Zealand,France,26,13,6/16/18,93.99,79.1
New Zealand,France,49,14,6/23/18,93.99,79.1
Australia,New Zealand,13,38,8/18/18,84.48,93.99
New Zealand,Autralia,40,12,8/25/18,94.52,83.96
New Zealand,Argentina,46,24,9/8/18,94.52,77.02
New Zealand,South Africa,34,36,9/15/18,94.52,81.35
Argentina,New Zealand,17,35,9/30/18,79.02,92.52
South Africa,New Zealand,30,32,10/7/18,83.96,92.52
New Zealand,Autralia,,,,,
Japan,New Zealand,,,,,
England,New Zealand,,,,,
Ireland,New Zealand,,,,,
Italy,New Zealand,,,,,
