,score,Prob
0,-2000,0.0
1,-1990,0.0
2,-1980,0.0
3,-1970,0.0
4,-1960,0.0
5,-1950,0.0
6,-1940,0.0
7,-1930,0.0
8,-1920,0.0
9,-1910,0.0
10,-1900,0.0
11,-1890,0.0
12,-1880,0.0
13,-1870,0.0
14,-1860,0.0
15,-1850,0.0
16,-1840,0.0
17,-1830,0.0
18,-1820,0.0
19,-1810,0.0
20,-1800,0.0
21,-1790,0.0
22,-1780,0.0
23,-1770,0.0
24,-1760,0.0
25,-1750,0.0
26,-1740,0.0
27,-1730,0.0
28,-1720,0.0
29,-1710,0.0
30,-1700,0.0
31,-1690,0.0
32,-1680,0.0
33,-1670,0.0
34,-1660,0.0
35,-1650,0.0
36,-1640,0.0
37,-1630,0.0
38,-1620,0.0
39,-1610,0.0
40,-1600,0.0
41,-1590,0.0
42,-1580,0.0
43,-1570,0.0
44,-1560,0.0
45,-1550,0.0
46,-1540,0.0
47,-1530,0.0
48,-1520,0.0
49,-1510,0.0
50,-1500,0.0
51,-1490,0.0
52,-1480,0.0
53,-1470,0.0
54,-1460,0.0
55,-1450,0.0
56,-1440,0.0
57,-1430,0.0
58,-1420,0.0
59,-1410,0.0
60,-1400,0.001
61,-1390,0.001
62,-1380,0.001
63,-1370,0.001
64,-1360,0.001
65,-1350,0.001
66,-1340,0.001
67,-1330,0.001
68,-1320,0.001
69,-1310,0.001
70,-1300,0.001
71,-1290,0.001
72,-1280,0.001
73,-1270,0.001
74,-1260,0.001
75,-1250,0.001
76,-1240,0.001
77,-1230,0.001
78,-1220,0.001
79,-1210,0.001
80,-1200,0.002
81,-1190,0.002
82,-1180,0.002
83,-1170,0.002
84,-1160,0.002
85,-1150,0.002
86,-1140,0.002
87,-1130,0.002
88,-1120,0.003
89,-1110,0.003
90,-1100,0.003
91,-1090,0.003
92,-1080,0.003
93,-1070,0.003
94,-1060,0.004
95,-1050,0.004
96,-1040,0.004
97,-1030,0.004
98,-1020,0.004
99,-1010,0.005
100,-1000,0.005
101,-990,0.005
102,-980,0.006
103,-970,0.006
104,-960,0.006
105,-950,0.007
106,-940,0.007
107,-930,0.007
108,-920,0.008
109,-910,0.008
110,-900,0.009
111,-890,0.009
112,-880,0.01
113,-870,0.01
114,-860,0.011
115,-850,0.012
116,-840,0.012
117,-830,0.013
118,-820,0.014
119,-810,0.015
120,-800,0.016
121,-790,0.017
122,-780,0.017
123,-770,0.018
124,-760,0.02
125,-750,0.021
126,-740,0.022
127,-730,0.023
128,-720,0.025
129,-710,0.026
130,-700,0.027
131,-690,0.029
132,-680,0.031
133,-670,0.032
134,-660,0.034
135,-650,0.036
136,-640,0.038
137,-630,0.04
138,-620,0.043
139,-610,0.045
140,-600,0.048
141,-590,0.05
142,-580,0.053
143,-570,0.056
144,-560,0.059
145,-550,0.063
146,-540,0.066
147,-530,0.07
148,-520,0.074
149,-510,0.078
150,-500,0.082
151,-490,0.086
152,-480,0.091
153,-470,0.096
154,-460,0.101
155,-450,0.106
156,-440,0.112
157,-430,0.118
158,-420,0.124
159,-410,0.13
160,-400,0.137
161,-390,0.144
162,-380,0.151
163,-370,0.159
164,-360,0.166
165,-350,0.174
166,-340,0.183
167,-330,0.192
168,-320,0.201
169,-310,0.21
170,-300,0.22
171,-290,0.23
172,-280,0.24
173,-270,0.251
174,-260,0.262
175,-250,0.273
176,-240,0.285
177,-230,0.297
178,-220,0.309
179,-210,0.321
180,-200,0.334
181,-190,0.347
182,-180,0.36
183,-170,0.373
184,-160,0.387
185,-150,0.401
186,-140,0.415
187,-130,0.429
188,-120,0.443
189,-110,0.457
190,-100,0.471
191,-90,0.486
192,-80,0.5
193,-70,0.514
194,-60,0.529
195,-50,0.543
196,-40,0.557
197,-30,0.571
198,-20,0.585
199,-10,0.599
200,0,0.613
201,10,0.627
202,20,0.64
203,30,0.653
204,40,0.666
205,50,0.679
206,60,0.691
207,70,0.703
208,80,0.715
209,90,0.727
210,100,0.738
211,110,0.749
212,120,0.76
213,130,0.77
214,140,0.78
215,150,0.79
216,160,0.799
217,170,0.808
