"","POS_SALE_BRANCH","sumB","sumSLOPE","sumSIDING","sumWINDOW","sumOTHER","meanD","meanPD","risk","meanCL","percent_PD","percent_D","clusterNum","clusterNum"
"1",0,1303622.01,0,0,1441350.3,-137728.28,571.562987012987,680.412337662338,0.487012987012987,1617.63331168831,0.0521939897027619,0.0438442265187734,3,1
"2",1,61544504.48,5276774.47,12856405.93,2975374.74,80801872.23,2290.2121783483,3050.11927713784,0,19628.8166014252,0.00495595716125886,0.00372122937327824,5,3
"3",2,44707312.05,3551257.31,9593375.93,4005448.24,54945886.72,723.867660244458,1140.71944188937,0,14268.0834174435,0.00255152767988737,0.00161912588132092,3,4
"4",4,30830520.44,5390292.18,6491237.84,1653460.73,34665976.84,402.55283014191,717.098541240627,0,14985.9127204561,0.00232593719147943,0.00130569586369885,3,4
"5",5,65419699.03,6114350.34,16356270.53,2064576.12,82722884.28,569.354824519359,794.653644884699,0,16095.5920956489,0.00121470085718415,0.000870310981189726,6,4
"6",7,88763071.25,11061527.34,17852690.71,9362989.46,101518512.44,520.799942570771,898.018512528782,0,18632.5596020588,0.00101170283979869,0.000586730422051243,6,2
"7",8,74984497.56,4267557.92,16378003.7,5810534.42,96762086.28,735.798067965868,1209.8101892909,0,16966.2893113984,0.00161341374371797,0.000981266917708034,6,2
"8",9,45687694.97,14131496.85,4574969.27,1763474.01,50908694.83,323.794583578452,537.263697369527,0,13931.2285834944,0.00117594835485203,0.000708712890398751,3,4
"9",10,23925053.72,2027201.85,5599003.99,1980223.03,28470517.83,291.16937383757,456.491248943245,0,14278.1959178267,0.00190800511583238,0.00121700614445922,3,4
"10",13,36726937.24,9130732.02,5965817.35,822997.23,41734311.74,234.430124629686,577.531611502707,0,12536.6810016345,0.00157250142512212,0.000638305674926697,3,4
"11",14,23729498.91,3811097.95,2049472.96,436136.53,34851363.03,650.250999668984,1064.43500662032,0,14246.0091087388,0.00448570368324025,0.00274026435254795,3,4
"12",15,55491463.33,6486738.47,7582896.32,2099610.61,80241135.67,1039.64881659595,1490.74729507645,0,23699.3588866438,0.00268644437471612,0.00187352928578095,6,4
"13",16,38306056.54,8148457.82,7084470.63,3235295.23,39184694.8,321.378004518419,542.150551431601,0,19001.6918968141,0.00141531287843601,0.000838974390858609,3,4
"14",17,146008130.69,26175912.77,32155076.91,15245925.69,146564096.86,805.766126897073,1528.79593116165,0,23345.3931681717,0.00104706219026086,0.000551863874353581,4,2
"15",18,140808800.81,17764743.2,42348787.02,9347655.43,143102673.29,746.021852278572,1414.60119555601,0,23994.4790651168,0.0010046255542399,0.000529811949244007,4,2
"16",19,22881513.11,5449028.8,3720304.29,1149226.41,25206497.46,206.577837163847,389.636416391454,0,14444.3631448406,0.0017028437521519,0.000902815457049322,3,4
"17",20,127184323.45,35558349.3,24279628.96,2148056.72,131618089.89,1543.90100401801,2467.04271142954,0,32476.69973181,0.00193973804672508,0.00121390825703843,6,3
"18",21,104695323.9,11417415.56,3393049.85,803159.22,179726334.27,531.226248104465,1551.85161920809,0,28088.7024886268,0.00148225494835886,0.000507402077108876,6,4
"19",22,47749765.84,1790521.36,13163534.27,3046422.9,58938084.35,463.298555131309,872.991801080276,0,14030.2972960514,0.00182826404637354,0.000970263512252041,3,4
"20",23,27186227.72,15220088.9,2088129.96,250161.75,19057969.76,593.596639211802,1057.75045821821,0,15309.3001986134,0.0038907584719452,0.00218344613796902,3,4
"21",24,49080682.32,5752520.51,1896582.45,532602.46,81678488.73,325.36442054831,678.852461006122,0,14343.4342736226,0.00138313574489468,0.000662917476222058,3,4
"22",26,72077252.71,6792949.75,8407397.39,5951634.65,101611464.07,790.041056608448,1670.52470023535,0,28692.5299454973,0.00231768642314468,0.00109610317666677,6,2
"23",27,35432404.26,3384408.87,10818324.82,6455573.08,28891006.33,446.253320812054,798.500448233656,0,9164.97102013253,0.00225358810645286,0.00125944973289841,3,4
"24",28,33581128.94,2449983.38,13788123.4,543991.37,33801373.15,311.815793258007,745.390791857316,0,14932.0373909795,0.00221967162923295,0.000928544700850094,3,4
"25",29,109711797.66,9990778.49,14627222.38,8050036.68,155774901.73,1219.01803733653,2378.74774084057,0,23394.664749426,0.00216817862032703,0.00111110934588302,6,2
"26",30,90989655.91,22775819.82,15385020.82,3055237.72,101284894.81,1517.86002984415,2470.72605394053,0,23091.0065723444,0.00271539223797526,0.00166816767759348,6,3
"27",31,111064296.42,35541812.6,15490544.56,3878039.09,111807052.1,1186.58122218532,2561.88671620724,0,28288.3542531551,0.00230666991894427,0.0010683732400358,6,3
"28",32,146939491.54,23447203.09,56356318.11,1419275.8,133591893.51,450.273705996689,974.741648189475,0,36181.5474400691,0.00066336261135362,0.000306434778885916,4,2
"29",42,93115346.4,7110666.54,9425539.4,2448008.74,148919814.27,352.46009265129,1061.46586872775,0,28543.0862198274,0.00113994729093093,0.000378519874841264,6,2
"30",43,55330007.33,8135420.12,14268629.87,3881058.41,57788301.87,539.283779552463,897.548589784139,0,14691.3481576658,0.00162217327106242,0.000974667825970199,6,4
"31",44,155505092.1,39408477.88,14926355.1,3543491.93,196413130.85,209.670705765997,611.80026743151,0,19305.6931280783,0.000393427803018876,0.000134832051436081,6,2
"32",45,111662132.39,14404926.77,8405377.11,4111971.23,168498554.15,1465.78008367934,3035.97725646758,0,29878.3329952092,0.00271889600483706,0.00131269218338034,6,3
"33",46,62581918.37,11304055.02,6008110.98,954146.24,87672489.18,272.067168698007,809.044848133101,0,25101.9830489456,0.00129277732163758,0.000434737661906556,3,4
"34",47,54039822.15,26661544.24,392715.11,245393.56,52280408.42,310.896846703733,1077.41776277469,0,17374.4272279587,0.00199374779543883,0.000575310640069775,3,4
"35",48,98851545.77,43232005.43,862399.95,9456900.37,87527082.8,900.110066017177,2350.84099410332,0,36583.5509601333,0.00237815299274436,0.000910567517185298,2,3
"36",50,118068464.36,15351705.96,26973565.71,157988.15,150929366.26,993.693490604936,2122.21268363079,0,26621.0327584379,0.0017974424374319,0.000841624811495038,6,2
"37",54,62801338.59,10249368.06,6791780.97,5136297.17,80966971.84,274.122091516667,485.978033949731,0,14556.5129513305,0.000773833878163729,0.000436490841869279,6,4
"38",55,0,0,0,0,0,-2880.06532375377,-3570.77886641831,0,35.6737945715806,-Inf,-Inf,1,1
"39",57,56225037.49,25988585.87,2060018.41,459789.99,55211856.23,302.610081606455,841.746640381441,0,25900.5297744361,0.0014971028530326,0.000538212325176798,3,4
"40",58,80847001.67,35749114.34,6293013.48,884666.74,76050528.58,753.325664133189,1751.69205151405,0,36822.7101598504,0.00216667534395905,0.000931791715922999,2,3
"41",63,55070648.45,3434145.84,11629717.13,2136929.87,72653501.39,543.61845898068,1085.27498022129,0,20256.7195293241,0.00197069584391518,0.00098712921362138,3,4
"42",64,78710712.1,4316501.82,16865915.93,3740255.89,108681913.88,1677.90207208347,2683.59427315839,0,37749.8163408157,0.0034094397084719,0.00213173280652287,6,2
"43",67,56973032.16,23225835.56,8460593.86,2467810.03,44639351.87,513.162914772994,958.780159771354,0,17695.8864836246,0.00168286665361037,0.000900711960233843,3,4
"44",68,24854258.81,1384299.28,6450064.1,2507655.44,28806368.51,586.029574608113,880.678525786766,0,11424.3776791911,0.00354337070567732,0.00235786381355427,3,4
"45",69,53179064.6,5360254.54,4861112.44,1795073.71,82455147.74,1269.58807304716,1916.20544346083,0,17673.963797116,0.00360330791425924,0.00238738323548316,3,4
"46",70,91276939.39,12450965.6,5096279.8,2917622.65,142186023.14,1502.05525483543,2216.87181812012,0,19903.7662015609,0.00242873154263868,0.00164560212565583,6,3
"47",72,34593128.42,8705271.26,294029.07,0,51033686.96,1385.66202985275,2097.89603375244,0,10501.7373132522,0.00606448774531632,0.00400559906877816,3,4
"48",77,44151676.35,8548481.82,10087546.66,2315445.48,46598522.41,609.486516853933,941.553202469245,0,13382.7496909002,0.00213254236374933,0.00138043799746673,3,4
"49",78,22159534.07,3641966.39,2399878.85,2585715.41,26643926.63,201.528698728643,361.216363688661,0,11918.7211338664,0.00163007201571843,0.000909444657509637,3,4
"50",82,81095196.88,2781146.5,17877108.27,4838821.46,101577630.78,687.201038769326,1427.18216222516,0,11759.6335253671,0.00175988494649938,0.000847400419763709,6,2
"51",83,41182960.53,5714583.13,19413298.26,1684017.71,28714638.24,744.726335354105,1312.31190375488,0,15342.6782142018,0.00318654095496343,0.00180833608310312,3,4
"52",84,30828395.74,2653949.53,9607531.74,2357131.18,32154291.46,392.689051952748,788.209693225651,0,11661.1922902604,0.00255676519749273,0.00127379009684644,3,4
"53",85,38823661.75,4944019.91,5128760.97,1985924.38,53786087.27,1100.26991733871,2060.08543245968,0,13733.9064052419,0.00530626257184429,0.00283401891460872,3,4
"54",86,79506304.68,25831993.58,17111460.79,1093065.84,70747310.06,1262.93694610778,1853.316272925,0,13004.4082658897,0.00233103057724076,0.00158847395963239,6,4
"55",87,38042076.99,9444168.83,6945941.93,3072413.67,37144351.45,984.572776501305,1482.87798694517,0,11883.2863550914,0.00389799428494656,0.00258811519875773,3,4
"56",89,115005605.99,44602185.95,13306275.72,5075909.77,104337164.74,973.586676882928,1797.24771985191,0,19240.5965372944,0.00156274792379094,0.000846555842649604,6,2
"57",92,58599753.66,7590434.63,11183916.71,5159108.57,68690053.9,592.731822763113,876.943751114158,0,16473.7546229002,0.00149649733376398,0.00101149200421931,6,4
"58",93,42800585.65,23704717.91,3744264.99,354986.25,29895933.38,689.768368692226,1164.31056675254,0,22808.9938180027,0.00272031456829502,0.00161158628606809,3,4
"59",95,115163243.89,1947917.82,34312785.61,12797896.92,128414230.59,809.564103291171,1403.31614426355,0,21133.9294621977,0.00121854516846013,0.00070297090976739,4,2
"60",100,40245890.2,6438824.64,7484225.1,913151.73,51196515.87,554.340383537207,1408.46975280326,0,23026.4404969419,0.00349966107297898,0.00137738382921197,3,4
"61",103,45262650.5,5127254.68,7260573.55,2737254.8,60530947.83,281.75338592616,639.612593878195,0,16288.5005822026,0.0014131134319635,0.000622485388755923,3,4
"62",104,76899728.48,10554399.88,16515607.14,4800054.11,89875360.32,827.012316791424,1565.21974863691,0,22779.2889247759,0.00203540347875739,0.00107544244061474,6,2
"63",105,81347395.97,17709433.54,25483134.9,8331128.68,58737899.34,262.702263798894,467.326314414628,0,21297.4843199783,0.000574482205413155,0.000322938750117798,4,2
"64",106,46824458.18,5919020.81,9494466.5,2921058.83,57114338.48,609.976721303641,911.806397304788,0,18427.6817547548,0.0019472865949664,0.00130268826381034,3,4
"65",107,47061554.49,3126270.49,7021130.25,2095043.23,70776545.18,820.739186731425,1493.78055130722,0,10337.5857099308,0.00317409946929108,0.00174396956417116,3,4
"66",108,30782007.11,11316722.86,2285968.18,1072346.67,32196111.11,312.156850989927,590.91857867315,0,14440.0339729073,0.00191968826646519,0.00101408868458262,3,4
"67",109,79403017.55,16604258.74,18248331.33,4951551.22,77017638.29,190.125817461256,884.012130013013,0,26352.2120460192,0.00111332309185397,0.000239444070675947,6,2
"68",110,84101825.24,21033044.02,19580975.85,3599147.42,79934265.13,447.244880225639,1067.967440306,0,26531.1479673132,0.00126985049047195,0.00053178974290908,6,2
"69",111,70657206.48,10655353.32,13717747.32,3160570.8,86652634.64,521.393896774194,1079.67439599555,0,20609.6307457175,0.00152804568674981,0.000737920337852272,6,4
"70",112,96206173.88,19395919.22,14121900.88,3102067.03,119600911.68,1777.90243465103,2651.08473311897,0,29975.1765031209,0.00275562848640642,0.00184801282802146,6,3
"71",120,58940978.63,2847577.86,13674104.52,4788664.16,75349164.2,543.157054226167,894.993885243793,0,12261.9784594108,0.0015184577963357,0.00092152703747221,6,4
"72",121,62156682.83,20174937.74,7479507.31,3246799.77,62580561.68,762.631224398388,1381.64282829105,0,15105.2060372979,0.00222283874458018,0.00122694968533665,3,4
"73",126,32275524.67,1805646.26,7079303.46,4675145.46,37331165.82,549.736687723731,879.592552116235,0,14248.8104795746,0.00272526182334632,0.0017032618163283,3,4
